subscription_id,user_id,start_date,end_date,plan,mrr_amount
sub_jx11rp3rv8,usr_k24ovooapd,2024-08-11,2024-11-27,Free,0
sub_lbu2h3cy9u,usr_x55bo1wd80,2025-04-21,,Premium,20.12
sub_8bu8f4aqkv,usr_7ywf1dzsyc,2024-12-27,,Free,0
sub_g0u1cshuwe,usr_7xcx6cafbh,2025-04-12,,Free,0
sub_qnfdouapvp,usr_w3odann1qo,2024-12-01,,Basic,14.5
sub_621285fqlp,usr_55ray3quuk,2024-02-20,2025-03-23,Basic,10.55
sub_1f4t2twt4s,usr_w2ljnsmikb,2024-12-21,,Premium,33.94
sub_6doiv1wrq3,usr_hpl8nmxssl,2024-06-08,2024-09-24,Free,0
sub_6wp5m87z2a,usr_xip5qpgyy0,2024-10-03,,Pro,67.23
sub_x7m0vg5dec,usr_bhbnfdp3r8,2023-11-12,,Basic,10.55
sub_t3txfel62x,usr_vuwkfxq5lq,2025-02-10,,Free,0
sub_lkut0v25ej,usr_vxrt50mbes,2024-12-31,,Basic,18.36
sub_ifzyec8k34,usr_2phf6grvp6,2024-02-23,,Free,0
sub_lgdy2etph6,usr_wy8wyuh4ns,2025-02-06,2025-04-15,Premium,41.93
sub_onsei7s6rw,usr_uiimamoph5,2024-11-30,,Basic,18.23
sub_xbukfsiwi2,usr_kmpizhbump,2025-04-19,,Basic,16.53
sub_kvjs0c23na,usr_ppr8gt1i3x,2025-01-27,2025-04-12,Enterprise,259.88
sub_20qlrs95j0,usr_vh135101nq,2024-05-29,,Free,0
sub_zt0ret8trn,usr_6vkx2iquwc,2024-11-10,2025-02-26,Enterprise,389.03
sub_hq533b7685,usr_j43u0sgjet,2025-05-12,,Pro,84.58
sub_m7o67rxzhp,usr_92u73aa1b0,2024-07-01,,Free,0
sub_641spi7s3k,usr_ykoiry6jem,2025-05-07,,Basic,16.15
sub_hiuylffov9,usr_uxqnfzxzfx,2024-09-05,,Basic,16.21
sub_wmzunhhxub,usr_k4pd63qlyh,2025-05-04,,Basic,15.86
sub_tn8bmlyfzb,usr_tfwh5vik6l,2024-06-03,,Premium,44.31
sub_1lxxrpt7hv,usr_iv9sjqi4go,2025-01-07,,Basic,11.54
sub_ss2toyqroy,usr_5n3ct43ccm,2024-09-12,,Free,0
sub_8gdgoq29z0,usr_d327soh416,2025-03-04,2025-04-09,Basic,14.87
sub_tg1vlunem1,usr_6grosrn7el,2025-03-21,,Basic,13.64
sub_4xktb3jg9f,usr_ktugxlfk18,2024-11-18,2025-02-08,Pro,58.35
sub_9h26cw44i9,usr_p030zjseji,2025-04-08,,Basic,16.45
sub_oy0zxtlhtt,usr_pvqoe56t1b,2024-01-01,,Basic,16.04
sub_cdl8v8nkv7,usr_fgyqymlx1p,2024-12-01,,Free,0
sub_eufikydqen,usr_y743c38sdq,2025-04-25,,Premium,27.92
sub_3hig12xzl8,usr_om2o2z9lo0,2023-06-02,2024-08-01,Basic,16.65
sub_9j3fivhdzz,usr_7ye3dqeexl,2025-03-09,,Premium,49.21
sub_l48b192t3e,usr_h4930xwldz,2025-05-14,,Basic,13.79
sub_5je544yy54,usr_emvmn15zx2,2024-05-28,2024-11-01,Premium,27.61
sub_dzcewof2qx,usr_vx34dgnco1,2024-07-17,2024-07-25,Free,0
sub_6gu7gwmbu9,usr_86p08f6xw1,2025-01-27,,Pro,81.18
sub_fosxxff8ky,usr_6rxcd6ocip,2024-12-24,,Premium,24.13
sub_leta15ln4x,usr_jv2pyp1t58,2024-04-11,2024-06-04,Premium,37.24
sub_qiwae0a0wu,usr_j0tk7yvgkj,2023-05-30,,Free,0
sub_liz3zhwzm3,usr_ghmli0krz0,2024-02-29,2025-02-19,Basic,11.34
sub_ex3dakkvgv,usr_xcd9rphasg,2024-11-02,2025-02-11,Basic,12.83
sub_1lw0etneao,usr_y71tolojsr,2025-03-22,,Basic,13.47
sub_1a7u16hmq2,usr_5u21rg8ypp,2024-12-13,,Premium,42.74
sub_j0yhmafdu6,usr_4wtirx7xkp,2025-05-07,,Basic,14.06
sub_c05yjo4vke,usr_13m5xnin08,2025-01-28,,Free,0
sub_c7dc2imrdi,usr_0izai1cpy1,2024-02-24,,Basic,13.68
sub_31dxrbtkxg,usr_a95ti13ap0,2024-11-14,,Premium,44.54
sub_qgudq81wb9,usr_litnglqd60,2025-04-28,,Premium,28.12
sub_2rqwsva873,usr_1rj02toq6q,2024-12-05,,Free,0
sub_1f3zkjkjr9,usr_u263v34qcc,2025-03-07,,Basic,16.71
sub_tjf3x4aub9,usr_kb1mg5gip6,2024-06-22,2025-04-16,Free,0
sub_w1k2drh29l,usr_9t46yqqcir,2023-07-12,,Basic,10.64
sub_6xaheec7uf,usr_ybi5y1t9et,2024-03-20,2024-10-14,Free,0
sub_h0fjsm7atg,usr_59fx8jwaoz,2024-03-14,2024-11-22,Pro,63.27
sub_dgy5rips0c,usr_3zmkfdvr5f,2024-08-03,,Basic,18.15
sub_92sqwf4bji,usr_5epfll6pj7,2024-03-04,2024-10-22,Basic,15.93
sub_2p6pupjy13,usr_ntd1lifs7k,2025-05-20,,Free,0
sub_eyzd8eiyq8,usr_kuczrwq8tw,2025-03-18,,Basic,17.26
sub_9bcbjot23s,usr_z4nrrt35hm,2024-12-14,,Pro,81.4
sub_qm56bi2exx,usr_b566r1jhn6,2025-04-07,,Free,0
sub_pcxi7n1ubd,usr_u54otcutez,2025-01-09,,Basic,17.71
sub_f4d0rqxeqc,usr_78hm2ao3sp,2025-04-09,,Premium,49.26
sub_mwqgbfyfj7,usr_tumgca3gzy,2025-03-15,,Free,0
sub_wca03jc3tb,usr_n2dtuvsz98,2024-11-10,2025-03-28,Basic,10.31
sub_zkzuueeqwx,usr_p6xb358c5q,2025-04-03,,Free,0
sub_3irzzy7baa,usr_1naw9swbfs,2025-05-17,,Premium,36.76
sub_c14e368np8,usr_nf9opj1bht,2024-10-04,,Premium,23.48
sub_ahuaip7rvf,usr_o6fqowlrcv,2025-02-09,,Basic,14.21
sub_s1bkgoeb2g,usr_td7hw6bm65,2024-04-18,,Free,0
sub_6y070v792y,usr_qgj78f5asy,2025-04-10,,Premium,32.52
sub_ciohe4hydz,usr_q5fsc8frpf,2024-12-26,,Free,0
sub_1skyihtl1g,usr_zbyj72gz09,2025-04-12,,Free,0
sub_8eabxnfrqx,usr_7l8ep0uro4,2025-01-05,,Basic,17.44
sub_gsxx12umt8,usr_z7ets9coc8,2025-04-09,2025-04-21,Pro,88.46
sub_pgobk4mf3n,usr_rnk19l4gq7,2025-04-05,,Free,0
sub_y8p4dnnnrp,usr_achcdgnc5p,2025-02-14,,Premium,33.37
sub_p1xghlhrtk,usr_hmnmg3gizb,2024-10-09,,Basic,16.87
sub_t3hak0b8z6,usr_cmhdjph3co,2025-05-01,,Premium,39.01
sub_d42tdyubs2,usr_aun889u0rz,2024-07-03,2024-07-15,Premium,20.71
sub_2tncyvmpih,usr_m438xgu9o7,2025-03-15,,Premium,40.58
sub_vabgrtugeu,usr_7wjzyheyo9,2024-03-23,2025-03-17,Free,0
sub_pepumsxmzz,usr_7s22n5ecpi,2024-03-21,,Pro,62.98
sub_od5eaiogln,usr_cz94bv0li8,2024-08-18,2025-02-04,Basic,15.18
sub_yaypn56z0w,usr_xbbjh5hdcc,2024-12-27,,Pro,50.89
sub_qmt9l3rx9h,usr_l92154l3tz,2024-06-09,,Premium,47.17
sub_untc8s6qzs,usr_olfbwflz3b,2023-04-26,,Free,0
sub_z7by1riwp7,usr_e6vkmctivo,2024-05-05,2025-04-14,Basic,18.87
sub_r87m5ceykj,usr_btj5mjox36,2024-08-07,2024-08-27,Free,0
sub_mkh6al9w17,usr_yuz10kmyc8,2025-03-10,,Premium,35.13
sub_dg5azljq16,usr_tg37649e5v,2024-11-19,,Basic,13.84
sub_4bdagmak1u,usr_mzovdzlw7p,2024-10-02,2025-02-09,Pro,74.17
sub_mqufp70c7d,usr_4i7ipdxkv5,2024-07-18,2024-11-24,Free,0
sub_a4gly6ywr0,usr_4pfyx7jcs2,2024-05-01,,Pro,91.76
sub_8jds0vm5qd,usr_dbvziwdmak,2024-04-10,2024-07-09,Premium,39.48
sub_ks65xppudp,usr_9y383lk0mb,2023-12-27,,Free,0
sub_nmt8c23wpn,usr_2ai1txnl2d,2024-09-01,,Enterprise,331.84
sub_scdu31tmqr,usr_x05mmx8r81,2025-05-05,,Basic,18.18
sub_dsilqdqokh,usr_lwk4bj0pg7,2024-05-13,2024-12-09,Premium,24.71
sub_i0kmpmfip1,usr_ayia0tj8d7,2025-01-19,,Free,0
sub_lvodh57i33,usr_gzxdw6p5it,2024-07-27,2025-03-27,Free,0
sub_a84m9ohen8,usr_awjojgv4tn,2024-07-17,2024-10-28,Basic,11.5
sub_543wfi0n0i,usr_cim9oafkww,2024-12-14,2025-01-11,Premium,29.7
sub_21x4mx42t5,usr_5bpkxab2ld,2023-09-20,2024-08-26,Basic,11.44
sub_31zuv9vwvm,usr_r705y51jg1,2023-11-16,2024-11-06,Free,0
sub_swa1w5w2ub,usr_2spfl0rnc0,2024-02-08,2024-05-21,Basic,18.75
sub_1nkv1ixlcq,usr_l6otpq3f00,2024-05-10,2024-09-19,Basic,18.09
sub_kpghx8e028,usr_ch4luqqa80,2024-08-27,,Pro,51.85
sub_rwcb98wbtm,usr_d99u0rmdry,2025-01-03,,Enterprise,368.6
sub_mg5thlh81b,usr_7yhvp8kdoc,2025-04-09,,Enterprise,412.42
sub_qt86vdqnux,usr_albd8ue58h,2024-03-07,,Free,0
sub_rax7ftwhe4,usr_r0wm2hh1sn,2025-04-09,,Free,0
sub_dyu0nin1xo,usr_jy3jzhn1zf,2025-04-20,,Free,0
sub_yymw6d8y5c,usr_iat0sd4fzs,2024-09-22,,Premium,39.21
sub_2rsqj4zzx9,usr_vltkj87jh2,2025-05-15,,Free,0
sub_lgu2a6ba6g,usr_3xzvxza0t0,2025-05-05,,Pro,58.92
sub_iohjyear5l,usr_5awe34hfjd,2025-02-18,,Basic,19.52
sub_9pn52n30eq,usr_nx9p6mjz6i,2023-04-10,,Free,0
sub_vce6miswvi,usr_qw44neww4t,2024-12-29,,Basic,10.28
sub_nvf9ljj1st,usr_ubvj819eyp,2025-03-04,,Premium,32.32
sub_g958jhl2v5,usr_14lhui6w7j,2025-05-03,,Free,0
sub_kd9tkdyzpj,usr_suno8vu2l6,2025-02-04,,Basic,11.96
sub_g0dafxx0qg,usr_9q47islzuu,2024-11-09,,Premium,31.36
sub_s052ut5d93,usr_wj29rq2afl,2024-09-13,,Free,0
sub_zlugfpdxko,usr_y1r6b82uuq,2024-02-08,2024-05-19,Premium,22.92
sub_5w6aacoq6l,usr_6mydld7fu0,2025-04-21,,Basic,11.05
sub_8rh6oe6epk,usr_rsgzuskkmm,2024-10-29,,Free,0
sub_0m7uaa6rwc,usr_5llu04z2dq,2025-02-18,2025-03-15,Premium,30.88
sub_nhzpltjb2c,usr_7ldgx6am1w,2024-12-11,,Enterprise,443.2
sub_apo9nqvmnr,usr_326rdju1t1,2024-07-01,2024-07-08,Basic,11.81
sub_wg6s2g62rf,usr_3sp61oh8y4,2025-02-09,,Enterprise,387.9
sub_2w062ix1od,usr_ze8olkxbal,2025-03-17,,Enterprise,476.42
sub_798otd78bb,usr_d7dt1fiz6v,2025-01-19,,Free,0
sub_pmezpkos25,usr_fddptin7vy,2024-11-16,2025-02-09,Premium,34.36
sub_g56wx3drsz,usr_taw69lsudi,2025-02-12,,Basic,11.85
sub_i9pzyctle5,usr_ildhbwmnq3,2024-03-28,,Premium,41.92
sub_0aj00z8nlc,usr_tylkzbwbmh,2025-04-29,,Free,0
sub_sjuzz3hgfx,usr_rjj5efmmzb,2024-08-17,,Basic,19.4
sub_oaivk87z4x,usr_w8pzxyh9gt,2023-06-20,2025-04-21,Free,0
sub_kajjybl2x7,usr_iqoh0yaiol,2024-10-20,,Pro,63.14
sub_3mzsh6a6k3,usr_js4k0dmtyy,2025-04-01,,Basic,16.08
sub_idvb4fyjhe,usr_q8qja1scw1,2024-06-15,2025-03-01,Basic,19.6
sub_ldgrvz9qu1,usr_1l9kby9g7q,2025-04-19,,Free,0
sub_a9wmcttbch,usr_b4in9jd3la,2025-04-03,,Basic,16.58
sub_yqo2b0i4l3,usr_3grcdww8hj,2025-02-10,,Pro,96.63
sub_nn7pk06mwm,usr_0jbllde8vp,2025-02-09,2025-02-23,Pro,60.88
sub_0p2blxsesn,usr_ujla4hd8jg,2025-03-17,2025-04-11,Basic,13.14
sub_0xa1zvfvks,usr_wac4x9xos8,2025-02-17,,Basic,18.78
sub_wjgv4y6gzg,usr_uq9ispv4sk,2025-04-21,,Free,0
sub_4tfw6gqcph,usr_8zp97ygwge,2025-05-09,,Basic,19.27
sub_dc4f4fikq4,usr_qn9aj0ngf2,2024-10-16,,Premium,23.28
sub_ub6jh3w6gl,usr_92xgrz9y50,2024-11-05,2025-01-05,Free,0
sub_hvyzvczrvf,usr_gctar2vjwx,2024-03-19,2024-07-20,Basic,15.08
sub_a4erf2bkv8,usr_m71nv0xi58,2025-01-18,,Free,0
sub_93tp4cacxe,usr_vugayf7mpd,2024-12-10,,Pro,88.9
sub_r5pwqakhib,usr_g66ki4vt27,2025-03-19,,Free,0
sub_pn8wcj7i6x,usr_jdbuxusowq,2025-04-20,,Enterprise,356.15
sub_cg6s3xbcoq,usr_p4zcqfum3a,2023-03-07,2024-12-15,Basic,14.06
sub_duvs49l8c0,usr_z76cswvnkk,2024-07-21,2025-01-10,Free,0
sub_9til88ro5x,usr_kpi8gbpyox,2024-01-09,,Free,0
sub_kow6wd5ycs,usr_semb79x6lq,2025-03-14,,Premium,46.82
sub_upvn83zw9m,usr_ct6k9fzavk,2024-04-18,2024-08-13,Free,0
sub_5qf3a4acqy,usr_rrlfrk2xu9,2025-03-19,,Pro,58.05
sub_3rke7zhym1,usr_lbgo9zdbas,2023-11-29,2024-08-01,Basic,14.69
sub_1fhbitam8y,usr_gdbzxuu4e8,2023-10-27,2025-01-17,Pro,50.13
sub_j4vjm5f2zn,usr_i2ymyb4yeb,2025-05-02,,Pro,54.9
sub_ei0sp4hqgf,usr_g7js2xbpjh,2024-11-09,,Basic,14.4
sub_rzmsbsiyou,usr_6eadmopuy9,2025-05-20,,Premium,31.27
sub_e5jewxufur,usr_k0x90hfd9a,2023-10-19,,Pro,73.77
sub_3abxd4i1gt,usr_jype9b17bz,2024-03-01,2025-04-04,Pro,85.95
sub_ltzutw1chu,usr_24185m5dyb,2024-11-06,,Free,0
sub_sopxyjyskm,usr_2npbikwlnh,2024-05-09,,Free,0
sub_rjd12ob5dv,usr_9cjz2s9pk2,2024-05-10,2024-05-28,Free,0
sub_dqccgo9x5k,usr_gn7kn4boel,2025-02-14,,Basic,18.9
sub_6q4ehoaot3,usr_z02cde1ii4,2024-09-20,,Basic,19.95
sub_ou66r5uyos,usr_kng8rgwldh,2025-05-07,,Free,0
sub_xxu5j7d373,usr_8s35s1z9eg,2025-04-02,,Free,0
sub_qrieukw217,usr_o608g2i4wh,2025-03-27,,Pro,72.78
sub_5chgk6njwb,usr_gj49mj7vru,2025-04-16,,Premium,49.14
sub_m0n10fogi3,usr_6c7p3x6fio,2025-05-02,,Enterprise,294.57
sub_8i19z00yzz,usr_d7rp9fz8we,2023-10-15,,Premium,29.49
sub_icz86lx7kb,usr_sp8e0infm9,2023-12-30,2024-11-24,Basic,10.26
sub_k7dyxm5gue,usr_aw46knakln,2025-02-20,,Free,0
sub_zszr2q1hkv,usr_5wpoand2km,2025-01-16,,Pro,81.86
sub_n7jolfw4fj,usr_n8vmxo87sq,2025-01-18,,Free,0
sub_pcpv492g4w,usr_t5reo54jqe,2025-01-27,,Basic,10.64
sub_ch1eehlqf0,usr_ojlvc4qfrn,2025-05-02,,Premium,31.47
sub_imwslv0hjc,usr_sr577b09v8,2024-03-29,2025-04-04,Premium,34.11
sub_q2r4d7l5nt,usr_syywna762s,2024-07-02,2024-07-08,Free,0
sub_w2ux8o7tji,usr_egsaplg6c8,2024-06-24,2024-07-26,Premium,40.99
sub_kyu2h3ednt,usr_urfm3hdlrz,2025-03-25,,Free,0
sub_exjvocx8a7,usr_9uxboeiijj,2025-04-13,,Free,0
sub_8eag5vical,usr_sird5yzbro,2025-05-02,,Pro,86.38
sub_8c4tq146yy,usr_6fon2x9mjg,2025-02-27,,Free,0
sub_1tr47uu138,usr_yyukja84xv,2024-11-12,,Basic,16.25
sub_d90r5ebdov,usr_cvjfa5ixql,2025-05-18,,Free,0
sub_7amag0xk8a,usr_snqqjxvwzd,2024-07-02,,Premium,47.78
sub_o9wz8coa9y,usr_8yjhrkhyix,2025-04-28,,Free,0
sub_xtfsq2uxds,usr_j0cx6ch4vi,2023-09-24,2024-05-21,Free,0
sub_fdyrcy60mi,usr_dnhi8bmtjx,2025-04-02,2025-04-20,Premium,21.09
sub_anf0o7iu2q,usr_dvf1mq6jph,2024-10-12,2024-12-13,Free,0
sub_m7vzqd1ejx,usr_m1ixwbuonp,2025-01-04,,Free,0
sub_a31q067re6,usr_c07f6vg5ak,2024-12-17,,Premium,22.86
sub_2xfyyh6bz3,usr_0wsseyj7za,2024-10-17,2024-11-03,Free,0
sub_firzi085ao,usr_6fck8kb06c,2025-05-13,,Premium,23.3
sub_wjq0gpgfxv,usr_rvunmyin3z,2025-04-15,,Premium,39.56
sub_mhda2iezw4,usr_3fj9heu2nx,2025-03-14,,Premium,41.64
sub_14l0pfqd92,usr_ihzu25vfek,2024-02-08,2025-01-15,Basic,15.13
sub_0p99pz7wjc,usr_y0ydfo66z5,2025-05-05,,Premium,47.87
sub_uwrflh3exi,usr_yg0na2nq9i,2025-03-11,,Free,0
sub_yrwfsnsylh,usr_4da9vw98j1,2025-02-16,,Basic,18.39
sub_tl0us6vqcj,usr_piihfr4zqf,2025-01-04,,Basic,17.73
sub_0n61djn1jd,usr_x8llhbgvij,2025-05-20,,Basic,13.83
sub_enzrmrp3b4,usr_kch4i7lxf3,2025-05-18,,Free,0
sub_23oqare4pw,usr_fp76dajuc7,2024-08-27,,Free,0
sub_uxyetknw6f,usr_pov8nnqwp8,2024-01-09,,Free,0
sub_43h1xnb5pp,usr_no81z3rkud,2025-01-29,2025-03-22,Premium,28.65
sub_kw8p2ttxi2,usr_qvgs4ipkui,2025-05-20,,Free,0
sub_9pbkapn5re,usr_k3dq121en7,2024-09-04,2024-10-25,Free,0
sub_q3sfkeokuf,usr_ctbcl3kgbm,2023-08-10,,Basic,12.56
sub_s4lc7kdpmj,usr_g52f3vomgb,2024-02-03,,Free,0
sub_mjmvdwrxh5,usr_zvi531n286,2025-04-04,,Premium,34.63
sub_4go7ckxi0z,usr_u3qglom5u7,2024-07-29,,Basic,16.58
sub_hhulqmc7bn,usr_1dy6xe4rpa,2024-05-15,2024-10-02,Pro,53.47
sub_mwwk187lh1,usr_jx3m0lb14b,2023-11-02,2024-08-16,Basic,15.34
sub_evdh65h15f,usr_2q7fq1og7z,2025-04-20,,Free,0
sub_7255jj5w3d,usr_tbinmum1fe,2024-10-10,,Pro,95.38
sub_t5s8h26n4f,usr_g7p0nwpmh3,2025-03-20,,Free,0
sub_5humjfsptb,usr_3hg855psip,2024-08-04,2024-12-03,Free,0
sub_2yb18c199z,usr_hjaiortirq,2025-02-23,,Enterprise,433.9
sub_5qmyreganj,usr_g1pwoti1pr,2024-12-03,2025-01-10,Free,0
sub_0v5iqszeau,usr_88jm7oojer,2025-05-16,,Premium,31.18
sub_4r90y62qsy,usr_t124tc9raz,2025-05-05,,Pro,68.46
sub_mt40gy81dh,usr_619gz14k6q,2024-11-24,,Basic,19.48
sub_36ykfshta0,usr_nfcco0faod,2024-02-11,,Free,0
sub_ar7anaiztr,usr_idcpkfznz5,2024-09-07,2024-09-09,Premium,31.7
sub_6ivza5y0mx,usr_c9gndzmc4y,2023-10-11,2024-08-03,Premium,34.12
sub_8bhn16nr7n,usr_pzare4nk19,2024-05-25,2024-12-10,Free,0
sub_755jc59en0,usr_xf7n4ltopk,2024-12-27,,Pro,67.65
sub_nsp19zkit9,usr_7vk88jui06,2025-05-09,,Free,0
sub_971kauh920,usr_zb33tdyznq,2025-04-14,,Basic,19.29
sub_kyyuj2vq8o,usr_y2c68jklg3,2024-11-27,2025-01-27,Free,0
sub_o1jxbbgz14,usr_oojkuuip8d,2024-06-27,,Basic,10.41
sub_b7wmbge3tp,usr_rtcp0kmevz,2024-09-13,,Basic,13.6
sub_xnvuva8qlc,usr_gtsevyt0w2,2024-12-26,,Basic,14.87
sub_rj6gpwsvtz,usr_rvn5taw16c,2024-07-24,2025-03-06,Free,0
sub_ln1sxsrfy0,usr_8j7upmlsp4,2024-10-25,2025-03-16,Basic,18.82
sub_xqf4o3vhis,usr_gcn70n8cxx,2023-10-02,2024-11-21,Basic,15.61
sub_xnno1bmpc2,usr_amkkb9wuu5,2024-12-19,,Enterprise,243.91
sub_4ifg5rai7q,usr_j1cq336uhb,2025-03-10,,Basic,11.37
sub_81wtda9vpd,usr_3u9gytzhj3,2025-03-11,,Free,0
sub_bevaayfxcg,usr_hgj8fntyx3,2024-03-26,2024-12-23,Premium,25.68
sub_cm85vq6o9a,usr_r274mwx6rz,2024-09-27,,Premium,28.54
sub_kk8ubyzbml,usr_6oudpvt792,2023-05-16,2024-05-19,Basic,16.91
sub_annj6r8jok,usr_w226jfs4c3,2025-01-17,,Pro,51.27
sub_uoja7weugx,usr_aqgnxiqqee,2024-11-23,,Free,0
sub_18prkq9o47,usr_ug2pyfput0,2025-03-01,,Free,0
sub_lsoi5yslea,usr_tucisa3wn1,2023-06-03,2025-04-26,Free,0
sub_hlr11mwt2u,usr_esdc6tupwb,2024-04-12,2025-04-21,Basic,18.25
sub_sznzdi9x7d,usr_z8lyzay1ut,2025-05-04,,Premium,36.28
sub_ahw708ta1g,usr_dctonvw523,2025-01-05,,Free,0
sub_d0gvw1sv3r,usr_rday8p93gx,2025-01-04,,Free,0
